検索クエリ,関連度,検索時間差,検索時間差の標準誤差,重複UU,ログインUU,男性ログインUU,女性ログインUU,10代以下ログインUU,20代ログインUU,30代ログインUU,40代ログインUU,50代ログインUU,60代ログインUU,70代以上ログインUU
e判定からの合格,2.452,-10.768,12.42,100,1691,405,1121,143,35,35,702,633,44,19
金沢工業大学 学費,2.451,-5.915,13.63,119,2014,801,1065,50,109,95,815,726,92,49
南山大学 学費,2.449,-0.129,9.478,236,4001,1264,2477,134,146,129,1763,1491,109,100
大学パンフレット 無料請求,2.448,-56.936,16.49,99,1681,364,1147,183,39,21,559,744,36,5
近大 学費,2.448,-0.004,15.942,99,1681,480,1077,64,110,73,726,622,27,13
コープ学生総合共済,2.445,27.128,10.208,196,3337,727,2403,19,136,55,1147,1779,112,18
富山大学 出願状況,2.439,22.224,9.384,147,2519,925,1353,198,122,53,829,1039,99,50
国公立大 学費,2.436,-3.478,7.644,310,5326,1491,3419,199,188,465,2671,1442,102,49
香川大学 出願状況,2.434,45.774,11.068,104,1790,642,977,109,60,49,633,746,74,27
大学 入学式 親,2.433,90.069,7.065,335,5773,1161,4250,334,85,210,2969,1967,52,17
18歳以下とは,2.432,-3.579,13.03,169,2914,695,2025,146,90,184,1184,1061,81,79
桜美林大学 学費,2.432,-0.006,10.492,164,2829,894,1762,110,113,91,1007,1210,131,82
静岡大学 入試,2.431,-2.549,10.121,158,2729,1092,1413,205,119,56,834,1175,139,89
大学 学費 無償化,2.431,-0.057,11.498,124,2141,708,1331,42,51,264,1164,520,46,19
近大 入試,2.43,10.506,8.95,200,3458,1197,1988,258,119,70,1104,1553,133,90
名城大学 入試,2.427,4.842,8.672,252,4371,1565,2409,476,175,100,1394,1771,147,89
岐阜大学 出願状況,2.426,12.82,9.22,129,2238,799,1252,185,121,27,727,974,66,44
大学入学式,2.425,89.411,5.427,547,9498,2691,6094,453,207,373,3459,3844,660,163
富山大学 入試,2.424,-4.084,9.665,132,2296,967,1140,115,80,76,705,982,163,69
大学推薦入試,2.423,-16.935,9.683,187,3254,1108,1845,125,45,73,1306,1308,140,93
ユニライフ,2.422,7.212,5.555,655,11414,5079,5545,522,1422,636,3219,4501,616,162
東京都立大学 学費,2.422,0.019,11.659,175,3049,1003,1811,189,126,121,1222,1077,126,63
徳島大学 出願状況,2.422,37.674,11.252,110,1917,695,1056,121,92,45,634,825,82,33
島根大学 出願状況,2.42,14.963,12.058,99,1729,707,849,104,97,68,533,689,107,36
大学生 リュック 男子,2.419,91.877,7.762,300,5243,1571,3322,163,267,111,2211,2199,81,36
龍谷大学 入試,2.419,0.5,9.164,190,3319,1345,1661,309,116,66,964,1423,164,93
大学費用無償化,2.418,-0.0,15.116,101,1766,445,1223,15,24,293,926,442,23,6
公務員専門学校,2.415,0.051,10.217,177,3105,1114,1715,186,356,135,1010,1136,111,28
立命館大学 学費,2.411,-0.078,6.132,571,10060,3477,5898,317,271,334,4028,4110,388,282
法政大学 学費,2.411,-0.013,7.795,362,6374,2086,3875,209,225,219,2486,2728,191,128
2004年生まれ 成人式,2.411,11.676,12.665,115,2026,297,1559,254,53,62,812,730,32,13
留学 奨学金,2.41,0.003,10.156,182,3209,775,2211,170,579,166,1021,1076,81,28
武庫川女子大学 学費,2.409,-8.234,12.213,135,2384,636,1573,84,134,81,900,926,95,67
共通テスト 申し込み,2.407,-56.996,4.657,691,12227,3614,7754,450,852,351,4087,5617,356,120
合宿免許 夏休み 2023,2.406,122.638,8.796,173,3063,1007,1872,231,268,45,857,1502,68,28
指定校推薦 校内選考,2.405,-45.568,6.257,417,7393,1602,5078,877,128,111,2847,2896,112,48
金沢大学 入試,2.405,-10.488,10.022,180,3191,1361,1548,234,124,92,928,1379,180,94
大学 無償化 所得制限,2.405,0.001,14.638,111,1968,571,1299,7,15,253,1028,594,36,12
ニトリ新生活応援セット,2.405,84.584,11.298,111,1968,617,1209,22,117,88,630,856,147,37
ドーミー 学生会館,2.402,9.054,11.566,101,1796,666,1043,41,71,66,626,848,90,20
名城大学 合格発表,2.401,49.469,10.023,141,2508,877,1398,308,92,25,868,965,52,68
工学院大学 学費,2.401,1.106,14.076,92,1637,604,942,46,65,28,613,740,71,38
大学 授業料,2.4,0.162,8.482,235,4184,1884,2086,78,182,533,1919,1180,157,51
私立大学 共通テスト利用,2.399,7.074,11.205,144,2567,779,1506,300,62,27,891,1037,66,31
出願書類 封筒,2.398,-18.286,12.513,107,1910,403,1332,227,102,82,781,601,24,9
芝浦工業大学 学費,2.395,-0.018,10.032,159,2846,965,1694,90,101,69,1051,1278,110,62
神戸学院大学 オープンキャンパス,2.394,-118.932,10.32,158,2830,699,1788,387,105,50,1021,956,68,35
愛知淑徳大学 学費,2.392,-5.619,13.587,93,1670,474,1032,86,117,47,645,629,39,24
静岡大学 出願状況,2.39,43.108,9.561,141,2536,980,1317,212,103,51,774,1122,86,48
国際医療福祉大学 学費,2.389,0.592,11.395,144,2593,924,1469,127,146,153,1006,934,96,35
中期日程 国公立大学,2.389,25.085,11.097,140,2520,924,1364,306,110,45,833,1041,67,10
夏期講習 高校生,2.389,-142.719,11.731,129,2322,610,1571,147,20,53,1004,983,43,17
大学資料請求,2.385,-62.614,12.385,139,2514,599,1689,338,72,42,973,930,46,14
帝京平成大学 学費,2.385,0.449,11.409,126,2279,727,1421,109,121,122,886,874,67,27
短大 学費,2.384,-0.006,11.195,134,2426,608,1628,112,142,429,1227,349,54,22
岡山大学 出願状況 2023,2.382,53.939,8.795,175,3174,1155,1754,197,109,57,1098,1343,154,70
関西外国語大学 学費,2.381,0.046,15.102,111,2014,605,1247,105,70,85,814,712,80,61
麻生専門学校 福岡,2.377,-8.825,11.592,175,3191,1016,1879,227,313,292,1063,889,186,50
甲南大学 入試,2.377,-20.377,11.801,121,2205,842,1150,243,81,61,636,929,95,47
名古屋大学 学費,2.377,-1.122,13.835,106,1932,671,1149,75,111,121,777,724,45,15
福岡大学 オープンキャンパス,2.376,-145.548,9.249,195,3559,978,2160,434,129,69,1300,1264,79,41
大原専門学校 公務員,2.376,0.037,13.985,115,2098,754,1174,113,204,112,718,760,90,22
学校推薦型選抜 国公立,2.374,-4.404,11.371,154,2815,771,1789,233,47,67,1211,1057,43,28
近畿大学 合格発表,2.373,37.212,8.48,198,3624,1338,1925,441,202,67,1140,1381,92,93
高校 卒業式 母 服装,2.372,70.569,11.493,122,2234,241,1851,19,10,86,1191,842,25,13
名城大学 入学式 2023,2.372,70.333,13.029,98,1795,547,1115,158,57,37,610,768,54,32
龍谷大学 公募推薦,2.371,-42.138,7.848,265,4861,1550,2794,581,198,79,1462,2035,113,96
佐賀大学 合格発表,2.371,105.494,12.355,98,1797,677,963,121,89,70,576,696,103,59
東京都市大学 学費,2.371,-15.379,12.548,93,1706,600,1011,50,45,42,586,804,80,51
共通テスト利用 私立,2.37,-13.4,5.612,516,9475,2515,6160,745,190,101,3238,4476,223,105
大学 入学金,2.368,-0.231,8.016,308,5666,1997,3419,110,225,1286,2700,1140,83,31
浪人 成功率,2.368,35.764,7.363,306,5629,1714,3343,574,254,104,1918,2351,97,45
金沢大学 出願状況,2.367,34.56,9.524,146,2688,1043,1400,215,154,57,805,1169,116,47
京都女子大学 学費,2.366,0.578,13.853,105,1935,528,1242,85,83,43,629,857,92,63
筑波大学 寮,2.365,-0.743,14.233,88,1623,500,1007,116,75,65,677,595,29,9
大阪芸術大学 学費,2.361,-34.369,11.606,132,2444,775,1501,89,90,96,951,929,125,71
福岡大学 入試,2.358,-4.173,7.205,344,6389,2597,3258,457,222,202,1987,2708,347,196
岡山大学 入試,2.358,-8.143,9.095,194,3604,1353,1939,246,101,106,1201,1475,208,88
神田外語大学 学費,2.357,-2.742,16.091,92,1710,487,1104,131,80,75,603,649,65,44
福岡大学 入試日程,2.356,-1.544,13.938,93,1731,674,876,182,103,52,496,673,88,44
近大 公募推薦,2.354,-8.052,10.755,152,2835,753,1819,349,133,51,941,1156,38,36
大学受験,2.353,-13.316,3.118,2056,38375,12496,23008,1594,885,1185,14776,16125,1511,895
予備校 費用,2.353,4.097,5.345,680,12698,4309,7543,414,362,635,5831,4528,345,189
修業年限とは,2.352,27.458,13.867,102,1906,741,1002,82,669,175,396,436,55,12
大東文化大学 オープンキャンパス,2.351,-61.125,12.785,86,1609,462,987,268,63,26,552,561,38,18
カレッジコート,2.35,35.795,13.492,104,1947,752,1059,61,88,62,585,937,112,37
大学生 パソコン おすすめ,2.349,92.828,14.398,95,1780,675,976,213,150,61,645,625,24,8
大学生髪型メンズ,2.348,16.152,16.932,90,1689,462,1053,108,159,10,544,733,26,4
平成16年生まれ 学歴,2.346,41.509,13.247,164,3083,540,2267,445,91,147,1313,873,53,22
ナジック,2.346,-2.464,11.613,132,2481,1013,1309,96,330,155,675,1022,115,28
国公立大,2.343,-6.3,5.526,728,13727,4668,7861,760,442,686,5629,4939,407,226
同志社大学 学費,2.342,-0.802,6.451,488,9209,3196,5346,297,320,341,3693,3637,346,237
公募推薦とは,2.34,-15.856,4.664,902,17057,4144,11014,2482,784,432,6048,5787,310,162
国公立大 偏差値 低い順,2.34,-15.791,9.664,248,4692,1341,2914,367,143,173,1850,1767,109,56
龍谷大学 入学式,2.339,74.496,11.691,114,2159,691,1296,171,114,41,696,916,84,44
共通テスト ボーダー,2.338,12.023,2.678,1996,37830,14969,19953,2002,1049,584,13173,17847,1240,453
post@net,2.338,2.62,10.966,124,2350,1038,1112,324,121,47,643,982,106,27
東京農業大学 学費,2.337,-1.624,12.525,147,2789,929,1681,94,93,97,974,1247,110,82
龍谷大学 出願状況,2.337,6.815,14.067,85,1613,567,874,162,51,13,485,686,73,46
簡易書留速達 いつ届く,2.336,21.905,14.042,104,1974,415,1401,144,131,76,708,740,87,16
広島市大,2.336,-20.945,15.718,85,1614,746,740,112,85,61,561,621,73,41
福岡大学 入学式 2023,2.333,76.144,10.634,107,2037,644,1226,111,75,80,642,878,120,55
中部大学 入試,2.332,-9.062,10.937,140,2669,973,1471,296,94,57,931,1044,75,51
熊本大学 合格発表 2023,2.332,55.004,10.627,129,2459,997,1251,125,123,91,748,964,190,95
鹿児島大学 オープンキャンパス,2.33,-167.416,14.154,93,1776,503,1087,146,59,44,716,652,45,10
指定校推薦 落ちた,2.329,-8.72,7.9,218,4170,1039,2588,829,197,123,1378,1260,71,21
学生寮,2.329,1.874,10.861,171,3271,1276,1751,182,280,313,1057,1033,208,77
熊本大学 入試,2.329,-16.755,12.202,122,2334,1020,1105,113,88,70,735,973,153,92
育英会,2.328,0.01,12.429,103,1972,935,935,17,112,378,734,479,152,65
推薦入試 大学,2.327,-29.973,14.526,103,1974,530,1272,145,53,64,703,799,63,45
獨協大学 学費,2.327,-1.526,13.694,103,1974,652,1200,84,75,75,734,824,86,33
明治大学 学費,2.326,-0.006,5.977,494,9472,3140,5697,323,387,409,3518,3968,356,207
看護大学 学費,2.326,-22.483,12.368,121,2321,615,1546,58,100,187,1047,722,89,48
長崎大学 出願状況 2023,2.326,61.54,12.355,97,1861,704,1016,117,95,34,579,837,85,45
簡易書留速達,2.323,6.893,12.224,115,2212,723,1322,148,186,146,810,759,71,19
関西学院大学 出願状況,2.322,17.019,12.298,84,1617,673,801,166,49,13,423,762,78,42
年末調整 子供のバイト収入,2.321,12.333,11.364,119,2293,933,1262,4,35,96,1048,1026,50,7
大学 入学式 服装 女子,2.319,74.239,5.961,463,8945,1662,6683,620,116,169,4160,3470,136,40
大学 受験料,2.318,0.021,15.27,95,1837,637,1092,55,52,185,897,556,40,16
専門学校 落ちる確率,2.316,-6.01,6.751,437,8468,2123,5333,1191,645,409,3167,2300,135,83
ニトリ一人暮らしセット,2.314,48.315,14.688,86,1669,451,1097,13,89,50,560,786,94,18
近畿大学 公募推薦,2.313,-35.298,6.512,357,6935,2187,4083,894,280,151,2226,2754,159,110
近畿大学 入試,2.311,6.885,5.566,464,9037,3385,4875,739,328,219,2748,3920,402,260
大学 出願状況 速報,2.311,40.983,12.115,91,1772,854,796,136,69,36,569,749,108,39
国公立大学 学費,2.309,0.019,8.806,258,5035,1780,2869,322,306,420,2051,1525,158,57
大学受験ブログ,2.307,-1.137,10.818,173,3380,644,2470,37,41,30,1180,1782,129,68
共通テスト 受験料,2.307,-20.393,14.46,102,1994,657,1217,127,105,69,754,804,63,12
中央大学 学費,2.306,-0.066,9.499,185,3619,1365,2000,146,215,176,1468,1360,102,37
大原公務員専門学校,2.303,1.887,16.053,98,1924,706,1020,185,237,117,602,579,72,17
国公立大 出願,2.299,17.106,9.355,155,3053,1170,1692,122,108,69,999,1459,130,70
日大 学費,2.298,0.006,14.997,96,1893,649,1146,58,80,92,856,719,35,13
新潟大学 出願状況,2.297,60.861,11.033,118,2330,996,1137,144,124,72,742,964,113,53
京都産業大学 公募推薦,2.296,-37.768,9.766,179,3539,1224,1954,492,155,83,1091,1344,101,76
学生アルバイト 103万超えると,2.296,20.623,14.644,110,2173,707,1352,19,120,54,619,1114,156,33
科学大学 札幌,2.294,-24.456,12.686,110,2179,746,1274,77,103,154,943,687,95,28
埼玉大学 入試,2.294,0.347,12.796,83,1644,683,814,123,52,44,486,703,106,50
大学編入学できる大学,2.293,2.99,14.071,121,2398,642,1564,65,136,47,659,1227,138,32
オープンキャンパス 親,2.292,-58.769,9.943,180,3572,716,2488,287,43,165,1822,997,47,15
千葉大学 入試要項,2.292,23.058,13.779,99,1965,779,1053,134,40,22,567,938,111,79
国民年金いつから払う,2.292,-6.927,18.291,81,1608,586,914,9,68,59,480,772,144,26
神奈川大学 給費生試験,2.291,-1.609,7.852,272,5402,1940,3044,480,258,212,1649,2295,204,88
共通テスト 写真,2.289,12.238,10.743,123,2447,692,1491,365,111,23,805,954,44,8
大学受験 証明写真,2.289,-1.377,11.709,102,2031,335,1514,248,50,17,745,855,19,12
千葉大学 出願状況,2.288,23.237,8.399,171,3405,1267,1850,259,122,44,958,1648,147,73
出願状況 大学,2.287,37.19,9.95,136,2713,1086,1392,301,151,40,766,1202,96,41
立命館大学 出願,2.286,6.147,9.77,128,2556,1093,1194,495,164,17,625,957,115,43
宮崎大学 合格発表,2.286,34.059,14.189,84,1677,697,844,103,88,67,536,641,104,62
指定校推薦 落ちる確率,2.285,11.968,7.133,266,5317,1682,2966,1089,260,158,1781,1521,81,43
広島大学 倍率,2.285,43.125,14.159,89,1779,651,948,202,130,69,584,608,57,27
2023共通テスト,2.285,5.448,13.624,85,1699,698,828,132,95,54,485,671,120,45
4親等とは,2.284,2.698,13.098,155,3101,1297,1631,40,263,443,913,879,337,136
関西大学 出願,2.282,38.046,12.004,99,1985,764,1028,302,111,22,529,819,69,32
大阪公立大学 出願,2.282,10.836,13.391,87,1744,618,989,202,79,17,500,795,62,24
青山学院大学 学費,2.28,1.236,8.539,288,5781,2047,3357,218,195,303,2213,2278,222,146
大学生 国民年金,2.28,0.056,12.354,121,2430,999,1325,11,93,74,865,1240,92,16
大阪学院大学 学費,2.28,-0.008,14.755,83,1666,611,924,62,49,92,730,536,75,49
長崎大学 入試,2.278,11.106,13.168,116,2335,1077,1081,104,93,55,695,1038,172,84
同志社大学 出願状況,2.277,21.138,9.112,153,3083,1201,1617,238,101,15,785,1536,139,130
熊本大学 オープンキャンパス,2.277,-188.671,12.016,132,2658,768,1594,249,67,51,1053,984,60,26
愛知学院大学 入試,2.276,-13.555,10.227,150,3023,1082,1617,443,118,68,904,1118,130,47
関西大学 入試,2.274,2.759,6.782,413,8344,3052,4540,757,303,195,2486,3640,352,201
学費,2.274,0.004,8.497,202,4082,1740,2089,92,224,720,1486,1007,299,144
共通テスト ボーダー 2023,2.274,2.323,10.923,124,2504,1045,1264,164,87,40,859,1163,57,29
就学支援金制度,2.273,-0.003,2.829,2748,55563,16914,35971,386,949,8655,28978,13428,1592,545
学校推薦型選抜,2.272,16.064,8.186,252,5103,1629,3007,588,142,183,2002,1741,136,58
神戸学院大学 入試,2.272,-19.074,14.49,94,1902,696,998,211,85,52,583,701,99,56
近大 入学式,2.271,78.062,13.618,94,1904,529,1243,107,117,78,678,799,41,22
大学生 パソコン 文系,2.27,54.084,14.282,89,1806,553,1112,285,103,31,633,646,30,8
大学 スポーツ推薦,2.27,-55.962,13.762,88,1785,685,972,56,72,117,874,561,41,11
富山大学 オープンキャンパス,2.269,-178.403,13.061,100,2030,639,1190,232,66,43,762,748,50,18
愛媛大学 合格発表,2.269,45.852,13.264,93,1888,781,949,120,87,78,612,746,96,64
学生バイト 103万超え,2.268,14.515,15.459,102,2073,576,1373,43,181,61,700,947,81,10
静岡大学 オープンキャンパス,2.265,-160.18,10.704,171,3485,966,2176,401,90,53,1305,1345,55,28
授業料軽減助成金,2.265,-8.037,11.503,160,3261,984,2130,24,22,144,1725,1175,94,34
学園大学 熊本,2.265,-10.665,14.91,79,1611,475,991,91,166,165,636,373,78,22
大学 入学式 カバン,2.264,77.551,12.349,102,2082,507,1352,442,110,28,810,579,11,6
大学生男子ファッション,2.264,44.897,18.037,90,1836,297,1379,27,73,22,568,1004,58,10
国立大学 出願状況,2.263,31.322,5.864,387,7907,3280,4171,109,126,110,2415,3965,660,315
関学 入試,2.263,10.06,9.283,199,4065,1405,2321,286,102,61,1211,1837,225,164
岡山大学 オープンキャンパス,2.262,-145.098,8.464,279,5703,1636,3498,585,159,67,2308,2091,102,66
日本国際教育支援協会,2.261,31.786,12.906,83,1698,729,891,12,166,308,314,584,231,48
在学証明書とは,2.26,37.947,10.867,208,4262,1114,2779,182,430,325,1910,1145,76,21
大学受験 勉強法,2.26,-78.587,12.69,115,2357,719,1344,374,89,48,833,774,51,27
2023共通テスト日程,2.26,-18.265,11.403,110,2253,685,1393,84,66,32,653,1094,166,61
大阪公立大学 出願状況,2.257,16.5,7.627,235,4828,1726,2683,406,232,57,1456,2164,155,131
日本金融公庫,2.255,9.788,12.017,127,2615,1375,1148,6,110,449,966,778,199,65
東京理科大学 学費,2.254,0.318,7.39,319,6575,2392,3741,145,178,157,2319,2969,368,213
共通テスト コロナ対応,2.254,7.011,10.054,138,2845,827,1845,97,73,73,1203,1234,69,12
東海大学 入学式,2.254,111.215,13.554,94,1937,637,1178,138,83,53,658,830,77,41
テレメール,2.253,-36.491,5.912,522,10768,3612,6307,807,435,353,3565,4789,379,81
立命館大学 入試要項 2023,2.253,11.206,6.275,356,7342,2785,4069,340,165,61,2195,3610,435,287
東京理科大学 出願状況,2.252,31.672,12.234,91,1879,789,970,77,48,19,499,985,112,81
指定校推薦,2.251,-15.396,4.544,827,17089,6532,8978,1959,886,992,6297,5612,369,156
医学部 奨学金,2.251,0.006,13.158,82,1695,700,897,33,143,258,724,461,34,12
茨城大学 オープンキャンパス,2.25,-120.329,13.944,91,1883,623,1045,227,63,30,692,676,51,14
公募推薦 落ちる確率,2.249,-13.037,10.455,160,3314,805,2121,581,113,62,1142,1146,37,21
甲南大学 公募推薦,2.248,-62.281,11.102,135,2800,878,1642,362,112,67,871,1116,75,43
高校就学支援金 2022 計算,2.248,-36.157,12.795,121,2509,568,1786,8,5,75,1493,836,23,19
大学生 カバン 女子,2.246,43.905,12.194,86,1787,243,1296,326,231,41,586,445,16,4
公立大学 学費,2.244,-0.003,11.028,162,3374,1154,1960,126,190,403,1557,825,93,65
立命館大学 共通テスト利用,2.244,36.143,12.222,119,2478,857,1345,428,150,30,700,945,43,19
近畿大学 理工学部,2.244,-13.425,14.294,84,1748,812,775,152,185,141,555,527,70,12
浪人生の母ブログ,2.242,29.669,14.29,114,2377,262,1935,16,23,12,965,1237,43,18
香川大学 オープンキャンパス,2.242,-156.252,13.181,100,2087,619,1228,229,87,42,782,760,35,19
愛媛大学 オープンキャンパス,2.242,-149.681,15.396,81,1690,487,1025,200,74,35,705,530,30,19
総合型選抜 受かる人,2.241,-5.568,9.483,197,4115,794,2868,541,85,48,1513,1638,53,22
年金学生納付特例制度,2.24,19.866,11.281,170,3552,918,2415,9,419,78,777,1869,261,33
帝京大学 入試要項 2023,2.24,14.695,11.909,87,1818,622,1043,222,75,37,567,751,57,28
大学 無償化,2.239,-1.191,10.628,205,4288,1455,2661,56,160,827,2177,898,85,33
バンザイシステム2023,2.239,18.759,8.239,184,3848,1836,1723,324,161,75,1063,1835,227,42
京都産業大学 入試,2.238,-4.218,12.222,120,2513,1027,1288,268,111,60,721,1022,133,85
北里大学 学費,2.237,0.076,13.941,96,2013,625,1241,94,110,110,697,801,78,49
国公立大学 出願状況,2.235,15.307,6.871,297,6240,2677,3135,255,163,134,1943,2930,440,155
ナジックマイページ,2.235,5.548,13.488,141,2962,1029,1699,185,568,59,650,1248,112,23
大阪公立大学 学費,2.234,-1.124,9.32,255,5363,1815,3148,198,193,172,2131,2119,200,139
大学編入,2.234,5.957,13.119,135,2839,1105,1456,189,499,142,746,1015,111,27
岐阜大学 合格発表,2.234,40.172,10.134,108,2272,890,1196,176,128,75,688,931,105,64
専門学校,2.233,-0.155,3.316,1902,40046,15021,21633,2394,3281,3080,13117,12727,2636,1035
広島大学 入試,2.233,14.102,9.71,204,4293,1769,2172,243,149,112,1343,1877,236,141
特定扶養控除 大学生,2.233,-13.36,15.464,95,2000,730,1188,1,65,44,629,1084,117,20
新潟大学 オープンキャンパス,2.232,-177.62,11.374,131,2759,886,1542,295,106,38,1019,1006,68,27
体育教師になれる大学,2.232,-26.045,14.29,110,2318,742,1376,173,59,67,1127,689,56,19
自動車学校 料金,2.231,7.379,6.328,519,10945,4887,5323,311,820,932,4035,3465,740,295
大学生 バイト 扶養,2.23,31.492,11.595,171,3610,823,2559,89,281,81,1346,1650,71,18
国立大学 推薦入試,2.229,-10.942,10.623,181,3825,1210,2351,85,52,138,1730,1481,147,69
成人式 着物レンタル,2.227,9.694,4.929,927,19628,4673,13765,306,481,694,8442,8045,664,437
東洋大学 入学式,2.227,100.889,11.031,115,2434,716,1539,208,91,41,831,1036,83,48
愛知県大学,2.227,-16.415,15.2,102,2160,816,1102,194,143,82,730,706,96,53
関西大学 合格発表,2.225,53.957,8.376,218,4624,1797,2408,424,225,81,1417,1862,218,157
佐賀大学 理工学部,2.225,16.13,14.906,81,1718,786,790,77,114,79,561,617,123,74
大学 学費,2.223,-0.012,4.096,984,20923,7758,12095,532,936,3971,10769,3808,299,159
大学 奨学金 割合,2.223,0.064,12.837,80,1701,691,928,34,94,148,796,535,42,19
大学面接 質問,2.223,-18.505,13.146,80,1700,577,845,559,121,49,393,365,30,11
龍谷大学 合格発表 2023,2.222,21.867,12.338,96,2043,802,1054,175,67,25,596,868,107,93
埼玉大学 合格発表,2.222,119.847,12.614,82,1745,718,883,135,85,55,589,685,71,52
大学生 入学式 スーツ 女子,2.22,134.174,14.16,80,1706,287,1323,61,16,21,802,744,14,13
経済大学,2.219,-8.186,17.769,85,1815,578,1078,133,142,185,683,484,80,32
学生総合共済,2.218,24.209,13.697,122,2608,956,1528,29,382,60,636,1312,123,22
自動車学校 合宿,2.217,21.425,7.859,393,8408,2922,4870,451,1026,458,2722,3009,345,109
大学 資料請求,2.217,-16.572,11.59,125,2674,633,1815,364,115,59,1189,827,27,9
長崎大学 オープンキャンパス,2.215,-210.857,12.75,81,1736,481,1054,168,41,30,667,643,43,17
大学入試,2.214,-0.8,5.151,779,16714,6841,8681,625,487,838,5834,6616,1154,543
大学学費 平均,2.214,-14.919,10.325,164,3519,1058,2205,112,119,293,1716,941,146,67
自動車学校 住民票,2.214,5.394,15.983,108,2317,735,1399,78,306,108,812,858,48,22
近畿大学 入学式,2.213,123.301,9.775,163,3501,1142,2054,215,186,121,1130,1475,134,77
全統プレ共通テスト,2.212,-5.458,11.251,114,2451,951,1155,679,237,53,501,739,36,12
就学支援金,2.211,-0.004,8.164,307,6603,2346,3984,64,124,745,3635,1727,160,65
高校就学支援金,2.211,25.436,8.585,275,5916,1668,3927,33,41,450,3554,1586,83,41
調査書 大学受験,2.211,-2.216,10.083,168,3615,1045,2106,767,248,75,1074,1108,67,15
新潟大学 合格発表,2.211,42.821,10.852,127,2733,1157,1338,160,156,92,833,1047,201,105
山口大学 オープンキャンパス,2.211,-207.726,12.93,102,2195,648,1304,225,66,30,848,823,54,22
都立大学 学費,2.211,-1.345,16.981,76,1636,554,1003,53,45,49,603,711,81,59
大和大学 公募推薦,2.21,-47.933,12.905,88,1895,567,1124,286,90,47,600,707,28,27
指定校推薦とは,2.209,-10.373,4.212,1164,25087,6855,15713,2105,1020,1777,10931,6939,602,271
共通テスト平均点,2.209,12.218,8.59,183,3946,1692,1708,741,280,68,974,1384,118,44
福岡医健スポーツ専門学校,2.209,-30.079,12.267,120,2588,1105,1294,182,285,388,871,619,106,29
共通テスト 結果 いつ,2.208,59.082,10.313,148,3195,934,2010,278,120,108,1429,1064,55,37
同志社女子大学 学費,2.208,-16.009,16.204,87,1877,469,1233,75,83,59,707,751,69,34
願書 写真,2.207,-3.641,12.739,92,1988,434,1402,133,92,153,905,602,19,11
大学 公募推薦とは,2.206,-11.045,17.501,79,1709,441,1136,86,29,32,804,661,30,8
共通テスト 持ち物リスト,2.205,67.291,12.544,84,1818,453,1183,158,57,24,677,781,24,6
貸予 読み方,2.204,0.321,10.483,200,4332,1709,2341,47,238,756,1869,1067,168,52
名古屋大学 出願状況,2.204,18.574,8.824,146,3164,1159,1745,248,146,71,958,1455,93,56
共通テスト解答速報,2.204,27.15,10.951,120,2599,1039,1170,607,204,37,517,882,76,15
ふりホ スタジオアリス 成人式,2.203,49.319,10.329,141,3059,503,2356,88,236,97,1302,1116,84,43
富山大学 合格発表,2.203,33.408,9.976,123,2669,1062,1377,187,150,100,807,1071,153,79
下関いちりつ大学,2.202,-0.118,15.875,91,1975,950,840,95,144,173,678,654,104,24
ウカロ,2.2,10.556,6.52,365,7939,2684,4525,963,387,141,2403,3445,188,55
振袖レンタル相場,2.2,16.981,10.703,213,4636,892,3473,114,208,164,1886,1859,209,76
私立大学,2.199,-0.005,8.682,266,5791,2407,2818,516,365,372,1814,1832,355,213
愛媛県立医療技術大学,2.199,-15.248,14.606,96,2090,710,1196,117,186,199,722,601,124,51
九州大学 志願状況,2.197,60.49,12.231,89,1942,736,1061,117,88,41,626,879,72,46
関大 入試,2.196,18.496,12.389,108,2359,784,1379,150,107,62,702,1086,91,61
共通テスト 判定,2.195,40.088,9.408,176,3849,1418,1994,775,318,69,1124,1233,48,45
三重大学 入試,2.195,15.261,13.267,106,2317,955,1178,138,78,49,727,1009,127,86
univcoopマイポータル,2.192,65.799,10.541,149,3266,1224,1821,189,236,37,854,1645,172,23
高校生アルバイト,2.191,-31.478,15.602,83,1822,597,1024,194,62,94,725,562,59,19
愛知県私立大学偏差値,2.19,-14.661,17.723,84,1845,599,1090,84,22,28,663,814,81,58
大学共通テストとは,2.189,4.421,10.18,180,3960,1275,2387,92,87,225,1836,1155,193,226
東北大学 出願状況,2.189,43.861,11.266,102,2243,883,1184,127,95,44,679,1038,120,48
専門学校 入試,2.187,-11.363,9.903,165,3636,1073,2151,492,308,231,1287,950,92,38
大学生 扶養から外れる,2.186,29.017,13.579,85,1875,609,1162,46,242,59,732,723,35,6
愛知大学 入試日程,2.186,4.995,14.941,83,1831,564,1074,255,80,48,559,670,68,37
テレメールとは,2.186,-91.126,16.654,81,1787,432,1174,110,54,61,674,728,58,12
学校推薦型選抜とは,2.185,-82.972,11.033,175,3865,1123,2311,603,128,117,1344,1314,95,27
母子家庭 高校 助成金,2.185,1.552,11.156,160,3534,523,2842,32,24,694,1883,718,87,41
立命館大学 入試,2.184,-0.881,5.716,518,11453,4280,6168,962,403,175,3293,5297,453,323
鹿児島大学 合格発表,2.184,56.028,11.014,116,2564,1076,1294,137,146,106,782,993,193,104
総合選抜型入試,2.182,-2.132,12.562,137,3035,1064,1779,76,74,132,1234,1263,128,39
